ENS_ID	Sym	scr.TNF.vs.veh.logR	RELA.TNF.vs.veh.logR	RELA.TNF.rep1vs3.logR	RELA.TNF.rep1vs2.logR	RELA.TNF.rep2vs3.logR
ENSG00000128274	A4GALT	0.422	0.088	0.04	-0.207	0.248
ENSG00000094914	AAAS	0.086	-0.155	-0.457	-0.256	-0.201
ENSG00000081760	AACS	0.011	0.064	0.6	0.696	-0.096
ENSG00000158122	AAED1	-0.015	-0.216	-0.374	-0.312	-0.062
ENSG00000103591	AAGAB	-0.109	-0.312	-0.257	-0.478	0.221
ENSG00000115977	AAK1	-0.132	0.654	0.732	1.173	-0.441
ENSG00000087884	AAMDC	-0.174	-0.224	-0.752	-0.704	-0.048
ENSG00000127837	AAMP	-0.016	-0.175	0.031	-0.155	0.187
ENSG00000131043	AAR2	-0.048	0.117	-0.114	0.235	-0.35
ENSG00000090861	AARS	0.043	0.378	0.68	0.627	0.053
ENSG00000124608	AARS2	0.256	-0.125	-0.298	-0.288	-0.01
ENSG00000157426	AASDH	-0.168	-0.249	-0.013	-0.199	0.186
ENSG00000149313	AASDHPPT	-0.279	-0.255	-0.248	-0.435	0.187
ENSG00000008311	AASS	-0.044	-0.051	-0.048	-0.162	0.115
ENSG00000275700	AATF	0.037	-0.393	-0.579	-0.659	0.08
ENSG00000165029	ABCA1	0.19	0.408	0.125	0.437	-0.312
ENSG00000107331	ABCA2	0.119	0.894	1.283	1.703	-0.42
ENSG00000154265	ABCA5	-0.06	0.385	0.28	-0.028	0.308
ENSG00000154262	ABCA6	-0.14	-0.066	-0.015	-0.61	0.595
ENSG00000141338	ABCA8	-0.308	-0.133	-0.232	-0.695	0.463
ENSG00000135776	ABCB10	-0.046	-0.002	-0.061	-0.252	0.19
ENSG00000131269	ABCB7	-0.186	-0.264	-0.166	0.141	-0.308
ENSG00000197150	ABCB8	0.248	0.07	-0.209	0.25	-0.459
ENSG00000103222	ABCC1	0	0.703	0.974	1.102	-0.128
ENSG00000124574	ABCC10	0.233	0.335	0.335	0.959	-0.624
ENSG00000023839	ABCC2	-0.215	0.023	-0.605	-0.565	-0.04
ENSG00000125257	ABCC4	-0.013	-0.17	0.011	0.011	0
ENSG00000069431	ABCC9	-0.085	0.106	0.016	-0.07	0.086
