geneid	txid	sym	strand	utr5.len	cds.len	utr3.len	Tx.len
ENSG00000004059	ENST00000000233	ARF5	+	154	543	406	1103
ENSG00000003056	ENST00000000412	M6PR	-	469	834	1453	2756
ENSG00000004478	ENST00000001008	FKBP4	+	187	1380	2165	3732
ENSG00000003137	ENST00000001146	CYP26B1	-	204	1539	2989	4732
ENSG00000003509	ENST00000002125	NDUFAF7	+	40	1326	810	2176
ENSG00000001036	ENST00000002165	FUCA2	-	56	1404	896	2356
ENSG00000003249	ENST00000002501	DBNDD1	-	132	477	1470	2079
ENSG00000002587	ENST00000002596	HS3ST1	-	1175	924	5932	8031
ENSG00000001617	ENST00000002829	SEMA3F	+	484	2358	960	3802
ENSG00000001626	ENST00000003084	CFTR	+	132	4443	1557	6132
ENSG00000001630	ENST00000003100	CYP51A1	-	166	1530	1514	3210
ENSG00000048028	ENST00000003302	USP28	-	69	3234	1366	4669
ENSG00000001460	ENST00000003583	STPG1	-	142	864	1538	2544
ENSG00000004799	ENST00000005178	PDK4	-	198	1236	2142	3576
ENSG00000006451	ENST00000005257	RALA	+	380	621	1879	2880
ENSG00000006453	ENST00000005260	BAIAP2L1	-	216	1536	1870	3622
ENSG00000006116	ENST00000005284	CACNG3	+	1202	948	938	3088
ENSG00000006118	ENST00000005286	TMEM132A	+	153	3075	252	3480
ENSG00000004975	ENST00000005340	DVL2	-	283	2211	524	3018
ENSG00000005175	ENST00000005386	RPAP3	-	116	1998	2256	4370
ENSG00000007001	ENST00000005756	UPP2	+	194	954	1076	2224
ENSG00000007038	ENST00000005995	PRSS21	+	42	945	114	1101
ENSG00000005073	ENST00000006015	HOXA11	-	72	942	1281	2295
ENSG00000006210	ENST00000006053	CX3CL1	+	111	1194	2016	3321
ENSG00000006282	ENST00000006658	SPATA20	+	120	2409	190	2719
ENSG00000007306	ENST00000006724	CEACAM7	-	202	798	1489	2489
ENSG00000007312	ENST00000006750	CD79B	-	93	690	486	1269
ENSG00000005486	ENST00000006777	RHBDD2	+	135	1095	572	1802
ENSG00000007520	ENST00000007390	TSR3	-	107	939	197	1243
ENSG00000006025	ENST00000007414	OSBPL7	-	192	2529	919	3640
ENSG00000006047	ENST00000007699	YBX2	-	64	1095	431	1590
ENSG00000006059	ENST00000007735	KRT33A	-	45	1215	27	1287
ENSG00000008197	ENST00000008391	TFAP2D	+	228	1359	124	1711
ENSG00000008405	ENST00000008527	CRY1	-	868	1761	638	3267
ENSG00000008438	ENST00000008938	PGLYRP1	-	44	591	85	720
ENSG00000010270	ENST00000009041	STARD3NL	+	257	705	766	1728
ENSG00000008118	ENST00000009105	CAMK1G	+	245	1431	936	2612
ENSG00000091704	ENST00000011292	CPA1	+	150	1260	77	1487
ENSG00000008282	ENST00000011473	SYPL1	-	47	780	1300	2127
ENSG00000010017	ENST00000011619	RANBP9	-	59	2190	864	3113
ENSG00000010610	ENST00000011653	CD4	+	258	1377	1479	3114
ENSG00000011105	ENST00000011898	TSPAN9	+	161	720	3442	4323
ENSG00000011478	ENST00000012049	QPCTL	+	221	1149	940	2310
ENSG00000011485	ENST00000012443	PPP5C	+	103	1500	506	2109
ENSG00000012963	ENST00000013070	UBR7	+	236	1278	2180	3694
ENSG00000012983	ENST00000013125	MAP4K5	-	319	2541	1494	4354
ENSG00000013588	ENST00000014914	GPRC5A	+	890	1074	5398	7362
ENSG00000013583	ENST00000014930	HEBP1	-	159	570	444	1173
ENSG00000014919	ENST00000016171	COX15	-	51	1233	1072	2356
ENSG00000071203	ENST00000016913	MS4A12	+	57	804	306	1167
ENSG00000015568	ENST00000016946	RGPD5	+	158	5298	1797	7253
ENSG00000015532	ENST00000017003	XYLT2	+	49	2598	860	3507
ENSG00000080293	ENST00000019103	SCTR	-	268	1323	274	1865
ENSG00000017797	ENST00000019317	RALBP1	+	223	1968	2177	4368
ENSG00000059915	ENST00000020673	PSD	-	527	3075	581	4183
ENSG00000019505	ENST00000020926	SYT13	-	112	1281	3751	5144
ENSG00000078668	ENST00000022615	VDAC3	+	68	852	435	1355
ENSG00000021488	ENST00000023064	SLC7A9	-	192	1464	105	1761
ENSG00000022567	ENST00000024061	SLC45A4	-	308	2397	841	3546
ENSG00000023287	ENST00000025008	RB1CC1	-	524	4785	1326	6635
